WARNING 2025-07-09 05:11:48,589 basehttp 9320 6188232704 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:11:48,595 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:48,597 log 9320 6188232704 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:48,597 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:11:48,598 basehttp 9320 6188232704 "GET /api/dashboard/commission HTTP/1.1" 404 7703
INFO 2025-07-09 05:11:48,599 basehttp 9320 6205059072 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:11:48,606 basehttp 9320 6205059072 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
WARNING 2025-07-09 05:11:49,612 log 9320 6171406336 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:49,613 basehttp 9320 6171406336 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:11:49,654 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:49,654 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:11:49,694 log 9320 6171406336 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:49,694 basehttp 9320 6171406336 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:11:49,700 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:49,700 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
INFO 2025-07-09 05:11:50,399 basehttp 9320 6205059072 "GET /api/organizations/ HTTP/1.1" 200 143
WARNING 2025-07-09 05:11:51,638 log 9320 6171406336 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:51,639 basehttp 9320 6171406336 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:11:51,711 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:51,711 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:11:51,755 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:51,756 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:11:51,896 log 9320 6171406336 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:51,896 basehttp 9320 6171406336 "GET /api/dashboard/commission HTTP/1.1" 404 7703
